path,search,file_dir,size
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,amp_New02.txt,file,size = 0 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,data1.txt,file,size = 121 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,data2.txt,file,size = 80 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,HW14.py,file,size = 1640 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,ld_new03.txt,file,size = 0 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,ld_new04.txt,file,size = 0 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,Task1.py,file,size = 939 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,Task2.py,file,size = 1022 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,Task3.py,file,size = 2185 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,union_data.txt,file,size = 122 bytes
C:\Users\Владелец\Desktop\GB\PYTHON_23\PythonHW\Seminar7,__init__.py,file,size = 229 bytes
